name,type,address,city,postal_code,latitude,longitude,pharmacist_name,pharmacist_phone,tier,segment,segment_potential,rep_email,notes
Pharmacie de Levallois Centre,pharmacy,22 Rue du Président Wilson,Levallois-Perret,92300,48.8948,2.2887,Dr. Hélène Morin,01 47 57 03 44,b,medical_nutrition,high,thomas.martin@danone.com,Officine dynamique proche cliniques. Clientèle senior et post-chirurgicale. Bonne prise en CNO Fortimel et Cubitan.
Pharmacie Clichy Belvédère,pharmacy,3 Place du 8 Mai 1945,Clichy,92110,48.9040,2.3059,Mme. Fatima Benali,01 47 37 19 82,c,infant_formula,medium,thomas.martin@danone.com,Officine à profil jeunes familles. Gallia AR et HA à développer. Intérêt materné déclaré.
PUI Hôpital Lariboisière – Nutrition,hospital,2 Rue Ambroise Paré,Paris,75010,48.8797,2.3553,Dr. Stéphanie Vidal (PUI),01 49 95 65 00,a,enteral_nutrition,high,thomas.martin@danone.com,"APHP. Référent nutrition entérale adulte (Nutrison) et CNO. Services gériatrie, neurologie, oncologie. Appel d'offre annuel groupement APHP."
PUI Hôpital Saint-Louis – Oncologie & Hématologie,hospital,1 Avenue Claude Vellefaux,Paris,75010,48.8740,2.3637,Dr. Nicolas Bernard (PUI),01 42 49 49 49,a,enteral_nutrition,high,thomas.martin@danone.com,APHP. CHU spécialisé hémato-oncologie. Forte consommation CNO post-greffe et chimiothérapie. Référent Fortimel Protein Sensation.
PUI Hôpital Bichat – Soins Critiques & Rénal,hospital,46 Rue Henri Huchard,Paris,75018,48.8990,2.3337,Dr. Arnaud Lefebvre (PUI),01 40 25 80 80,a,enteral_nutrition,high,thomas.martin@danone.com,APHP. Réanimation et néphologie importantes. Nutrison Energy et Renilon 7.5 en formulaire. Intérêt KetoCal pour neurologie pédiatrique.
Clinique du Rouvray – Maternité & Pédiatrie,hospital,4 Rue Euler,Levallois-Perret,92300,48.8933,2.2841,Dr. Claire Dubois (Responsable nutrition pédiatrique),01 41 27 50 00,b,infant_formula,high,thomas.martin@danone.com,Clinique privée. Maternité active (>1500 naissances/an). Prescription laits infantiles sortie maternité — Aptamil Profutura et Gallia. Néonatologie: Infatrini.
PUI Hôpital Beaujon – Hépatologie & Nutrition,hospital,100 Boulevard du Général Leclerc,Clichy,92110,48.9055,2.3116,Dr. Marie-Claude Faure (PUI),01 40 87 50 00,a,enteral_nutrition,high,thomas.martin@danone.com,APHP. Service hépatologie et gastroentérologie de référence. Forte consommation Nutrison Peptisorb et Fortimel DiaCare. Référent Stimulance fibres.
Pharmacie Montparnasse Grande,pharmacy,10 Rue du Départ,Paris,75014,48.8421,2.3241,Dr. Sophie Lecomte,01 43 20 57 83,a,medical_nutrition,high,sarah.bernard@danone.com,"Grande officine gare. Clientèle diverse, fort trafic patients HAD et sortie hôpital. Gamme complète CNO Fortimel et Nutilis dysphagie."
Pharmacie Denfert-Rochereau,pharmacy,3 Place Denfert-Rochereau,Paris,75014,48.8340,2.3327,M. Olivier Martin,01 43 22 01 34,c,mixed,medium,sarah.bernard@danone.com,Officine résidentielle. Mix senior et familles. Fortimel standard et Gallia 1er âge. Potentiel Volvic et Evian.
Pharmacie Alésia,pharmacy,55 Rue d'Alésia,Paris,75014,48.8289,2.3270,Mme. Céline Pons,01 45 42 11 80,c,infant_formula,medium,sarah.bernard@danone.com,Quartier résidentiel familial. Demande soutenue laits infantiles AR et HA. Intérêt déclaré Blédina diversification.
Pharmacie d'Italie,pharmacy,8 Place d'Italie,Paris,75013,48.8310,2.3573,Dr. Linh Nguyen,01 44 08 66 00,b,infant_formula,high,sarah.bernard@danone.com,"Quartier cosmopolite, forte communauté asiatique. Très forte demande laits infantiles premium. Aptamil Profutura excellent vendeur. Evian bébé bien positionné."
Pharmacie Bastille Rive Droite,pharmacy,22 Rue de la Roquette,Paris,75011,48.8533,2.3704,M. François Mercier,01 43 55 47 32,c,medical_nutrition,medium,sarah.bernard@danone.com,Officine de quartier actif. Quelques clients HAD. Fortimel Protein en référence. À développer sur gamme MHM.
Pharmacie de la Nation Est,pharmacy,67 Avenue du Trône,Paris,75012,48.8488,2.4042,Mme. Aurélie Blanc,01 43 43 27 16,b,mixed,medium,sarah.bernard@danone.com,Grande officine de carrefour. Double clientèle senior/famille. HAD présente. Références Fortimel et Gallia maintenues.
Pharmacie de Vincennes,pharmacy,22 Rue de Fontenay,Vincennes,94300,48.8476,2.4393,Mme. Isabelle Blanc,01 43 74 17 83,c,infant_formula,medium,sarah.bernard@danone.com,Banlieue résidentielle aisée. Familles primo-accédantes. Gallia et Aptamil bien installés. Blédina à renforcer.
Pharmacie Charenton Centre,pharmacy,5 Place de l'Église,Charenton-le-Pont,94220,48.8204,2.4112,Dr. Bertrand Collet,01 43 75 00 34,b,medical_nutrition,medium,sarah.bernard@danone.com,Bonne clientèle senior. Proximité EHPAD. Fortimel Crème et Compact demandés. Nutilis Powder référencé.
Pharmacie Créteil Soleil,pharmacy,Place Salvador Allende,Créteil,94000,48.7792,2.4527,Dr. Aminata Diallo,01 45 13 22 00,a,medical_nutrition,high,sarah.bernard@danone.com,"Grande officine centre commercial. Très fort trafic. Clientèle diverse âges, fort potentiel CNO et infantile. HAD + retours hospitaliers CHU Mondor."
Pharmacie de Boulogne-Billancourt,pharmacy,15 Rue du Vieux Pont de Sèvres,Boulogne-Billancourt,92100,48.8353,2.2400,M. Lucas Petit,01 46 20 11 84,b,mixed,high,sarah.bernard@danone.com,Clientèle aisée. Demande forte Aptamil Profutura et Fortimel. Evian et Volvic en libre-service.
Pharmacie Issy-les-Moulineaux,pharmacy,2 Rue Camille Desmoulins,Issy-les-Moulineaux,92130,48.8259,2.2781,Mme. Julie Fontaine,01 46 42 03 22,c,infant_formula,medium,sarah.bernard@danone.com,Quartier jeunes actifs. Gallia et Aptamil leaders. Blédina compotes à référencer. Bon potentiel eau bébé Evian.
Pharmacie Neuilly-sur-Seine,pharmacy,3 Boulevard du Commandant Charcot,Neuilly-sur-Seine,92200,48.8843,2.2686,Dr. Philippe Mercier,01 46 24 37 91,a,medical_nutrition,high,sarah.bernard@danone.com,Clientèle senior très aisée. Forte demande CNO premium et laits infantiles haut de gamme. Référente Fortimel Compact et PKU Lophlex.
PUI Hôpital Pitié-Salpêtrière – Neurologie & Gériatrie,hospital,47 Boulevard de l'Hôpital,Paris,75013,48.8413,2.3620,Dr. Laurent Mounier (PUI),01 42 16 00 00,a,enteral_nutrition,high,sarah.bernard@danone.com,APHP. Plus grand hôpital européen. Références Nutrison toutes gammes. SLA et démences — Nutilis Complete dysphagie. Formulaire APHP. Volume majeur.
PUI Hôpital Trousseau – Pédiatrie & Néonatologie,hospital,26 Avenue du Docteur Arnold Netter,Paris,75012,48.8480,2.3940,Dr. Élise Garnier (PUI),01 44 73 74 75,a,infant_formula,high,sarah.bernard@danone.com,"APHP pédiatrique. CHU de référence néonatologie et pédiatrie. Infatrini et Nutrini leaders. MHM: PKU Anamix, MSUD. Pepticate APLV sévère. Contact clé MV Danone."
PUI Hôpital Cochin – Gastroentérologie & Oncologie,hospital,27 Rue du Faubourg Saint-Jacques,Paris,75014,48.8368,2.3405,Dr. Anne-Sophie Guillot (PUI),01 58 41 41 41,a,enteral_nutrition,high,sarah.bernard@danone.com,APHP. Gastroentérologie et oncologie digestive. Nutrison Peptisorb et Advanced Diason en formulaire. Fortimel Protein Sensation pour onco. Cubitan cicatrisation.
PUI CHU Henri Mondor – Rénal & Oncologie,hospital,51 Avenue du Maréchal de Lattre de Tassigny,Créteil,94010,48.7836,2.4531,Dr. Jean-Marc Dupont (PUI),01 49 81 21 11,a,enteral_nutrition,high,sarah.bernard@danone.com,APHP. CHU référence Val-de-Marne. Néphologie — Renilon 7.5 et 4.0 en formulaire. Oncologie: Fortimel Compact. Greffe rein — PreOp pré-opératoire. Volume élevé.
Clinique de la Croix de Berny – Maternité,hospital,25 Rue Georges Besse,Antony,92160,48.7555,2.2988,Dr. Sandrine Collin (Responsable pédiatrie),01 46 74 84 84,b,infant_formula,high,sarah.bernard@danone.com,Clinique privée haute gamme. Maternité (~2000 accouchements/an). Prescription sortie maternité — Aptamil Profutura N°1. Gallia Calisma en alternative. Néonatologie légère: Infatrini.
PUI Hôpital Bicêtre – Maladies Rares & Métaboliques,hospital,78 Rue du Général Leclerc,Le Kremlin-Bicêtre,94270,48.8121,2.3553,Dr. Patricia Schmitt (PUI - Maladies Rares),01 45 21 21 21,a,enteral_nutrition,high,sarah.bernard@danone.com,"APHP. Centre de référence maladies héréditaires du métabolisme (MHM). PKU Anamix, MSUD, HCU, KetoCal, GMPro — produits essentiels. Relation stratégique pour Nutricia MHM. Contact clé."
